Distance_(pixels),Gray_Value
0,82.6241
1,83.4306
2,82.3708
3,80.8469
4,76.7838
5,72.8835
6,68.8950
7,64.5529
8,58.2012
9,54.5615
10,56.1083
11,61.0296
12,67.5636
13,74.1171
14,79.1548
15,80.9182
16,79.3366
17,75.8144
18,76.0337
19,79.0112
20,81.1153
21,81.2423
22,78.3038
23,75.0176
24,74.2408
25,73.7361
26,75.5194
27,74.3020
28,70.5901
29,69.8201
30,71.1164
31,73.3324
32,74.5103
33,75.7542
34,80.5797
35,87.1715
36,89.2053
37,86.5345
38,85.1287
39,87.8886
40,93.5450
41,98.1926
42,98.3625
43,92.9332
44,88.3950
45,86.4294
46,82.0690
47,76.9114
48,76.5833
49,77.7344
50,77.3304
51,78.5526
52,78.8513
53,77.9002
54,78.8472
55,83.6677
56,90.9136
57,94.2350
58,97.9078
59,101.4766
60,101.5566
61,101.6649
62,100.8023
63,98.2098
64,94.5329
65,91.4736
66,85.7572
67,80.1381
68,78.8180
69,81.7701
70,85.1990
71,85.9898
72,84.8462
73,82.0752
74,81.1662
75,79.1606
76,78.0030
77,77.0192
78,73.4429
79,72.2184
80,72.8886
81,74.9435
82,76.9670
83,79.0992
84,83.6642
85,88.2141
86,91.3884
87,90.9863
88,89.7104
89,91.1637
90,91.2367
91,90.2478
92,89.1123
93,90.9456
94,93.8524
95,91.5200
96,85.1619
97,81.9125
98,85.6460
99,92.3400
100,93.4501
101,94.7688
102,95.1120
103,95.3405
104,95.3878
105,93.6336
106,97.2517
107,102.0656
108,102.8124
109,97.8905
110,88.0944
111,80.5837
112,74.3020
113,69.7134
114,67.9999
115,69.3270
116,69.9508
117,69.3118
118,68.3907
119,69.2054
120,72.2475
121,73.5885
122,74.5046
123,74.1528
124,75.2605
125,77.4899
126,78.0335
127,76.8345
128,77.1930
129,77.8821
130,75.0612
131,70.8366
132,68.8058
133,68.6688
134,69.1688
135,69.5479
136,68.8202
137,68.0561
138,67.3909
139,68.5274
140,74.4525
141,79.0899
142,81.8831
143,85.0325
144,85.5049
145,83.7162
146,80.8304
147,76.1968
148,74.3063
149,73.8110
150,74.6756
151,76.8834
152,78.6842
153,79.6745
154,80.3208
155,81.6079
156,83.3322
157,84.6977
158,83.1459
159,81.9858
160,80.0840
161,78.5821
162,75.7536
163,76.2469
164,77.3803
165,80.8383
166,82.0501
167,81.4589
168,78.0477
169,73.4139
170,71.0285
171,70.2176
172,70.5431
173,70.2048
174,72.9990
175,73.9041
176,75.2023
177,74.9466
178,71.7442
179,69.4784
180,67.5942
181,68.4942
182,69.6956
183,70.5025
184,71.3783
185,71.4832
186,70.0975
187,67.9096
188,66.9075
189,68.3902
190,66.8811
191,65.9702
192,65.6447
193,64.7743
194,65.4746
195,64.7995
196,64.6130
197,64.1675
198,62.1653
199,62.6647
200,64.6644
201,65.8733
202,63.4922
203,60.9478
204,58.5940
205,56.7875
206,57.4636
207,56.5002
208,54.8635
209,53.2042
210,51.7111
211,49.2846
212,48.0306
213,48.2543
214,46.3906
215,44.1870
216,42.3961
217,40.7544
218,39.2890
219,37.8091
220,37.2979
221,37.5666
222,37.5027
223,37.3286
224,37.9327
225,38.3058
226,37.1877
227,36.6425
228,35.7355
229,35.2527
230,35.1200
231,34.7987
232,35.1000
233,34.4813
234,34.4052
235,34.8312
236,34.7986
237,34.0782
238,34.4456
239,34.7647
240,34.8006
241,35.1632
