Distance_(pixels),Gray_Value
0,106.937
1,103.746
2,104.780
3,109.159
4,113.372
5,118.621
6,118.623
7,111.290
8,99.299
9,88.657
10,88.314
11,95.804
12,102.128
13,108.025
14,113.950
15,121.232
16,128.574
17,131.275
18,129.892
19,126.020
20,123.009
21,121.229
22,116.560
23,110.900
24,104.838
25,98.034
26,90.118
27,85.491
28,83.969
29,82.412
30,79.679
31,78.522
32,79.678
33,82.283
34,87.216
35,94.580
36,101.346
37,108.370
38,112.734
39,115.552
40,117.412
41,120.141
42,122.954
43,123.782
44,124.875
45,125.679
46,121.240
47,114.378
48,110.660
49,110.494
50,113.424
51,118.327
52,124.100
53,125.468
54,125.904
55,124.976
56,121.961
57,123.146
58,126.323
59,128.393
60,132.055
61,138.830
62,145.428
63,147.976
64,146.770
65,142.813
66,138.979
67,131.749
68,123.939
69,114.067
70,104.087
71,98.187
72,102.210
73,109.515
74,115.838
75,121.424
76,125.927
77,132.124
78,137.508
79,138.152
80,132.299
81,126.185
82,121.219
83,117.638
84,120.453
85,127.324
86,132.370
87,136.257
88,136.222
89,131.811
90,128.248
91,126.529
92,125.094
93,126.076
94,129.684
95,131.109
96,130.832
97,129.902
98,125.713
99,120.373
100,114.434
101,111.402
102,110.463
103,111.796
104,115.061
105,119.351
106,124.504
107,129.595
108,131.797
109,133.926
110,132.772
111,127.132
112,123.553
113,123.533
114,119.604
115,115.912
116,115.242
117,115.125
118,113.593
119,110.523
120,110.571
121,116.330
122,125.309
123,132.261
124,138.023
125,142.350
126,146.081
127,148.085
128,148.158
129,148.121
130,145.759
131,142.338
132,139.687
133,137.250
134,134.688
135,128.437
136,122.389
137,117.332
138,117.051
139,118.656
140,121.103
141,127.450
142,133.017
143,136.675
144,139.755
145,136.706
146,130.481
147,124.814
148,120.327
149,118.460
150,122.454
151,130.128
152,137.162
153,138.785
154,131.754
155,121.527
156,117.521
157,120.424
158,120.724
159,122.468
160,133.758
161,143.349
162,146.713
163,145.038
164,142.662
165,140.639
166,137.821
167,134.032
168,128.786
169,122.198
170,117.111
171,115.194
172,114.684
173,115.934
174,120.403
175,127.864
176,129.023
177,122.933
178,114.878
179,109.082
180,104.890
181,105.111
182,109.207
183,112.588
184,114.093
185,112.712
186,108.455
187,103.513
188,101.285
189,100.913
190,102.136
191,104.781
192,113.115
193,123.681
194,128.821
195,131.154
196,129.710
197,126.583
198,121.942
199,117.760
200,116.202
201,116.289
202,113.821
203,108.663
204,103.681
205,102.166
206,103.910
207,109.351
208,114.551
209,116.058
210,116.834
211,118.950
212,124.651
213,129.396
214,132.291
215,130.115
216,123.613
217,116.469
218,113.234
219,111.563
220,111.960
221,113.323
222,113.293
223,110.489
224,108.659
225,108.791
226,111.150
227,116.338
228,121.172
229,121.233
230,116.047
231,107.973
232,103.829
233,103.355
234,104.529
235,105.335
236,104.617
237,102.843
238,95.059
239,86.398
240,86.372
241,90.393
242,93.973
243,93.106
244,90.897
245,89.834
246,89.831
247,89.225
248,87.927
249,84.693
250,83.151
251,84.624
252,84.132
253,84.201
254,83.253
255,83.192
256,83.185
257,81.522
258,83.216
259,85.886
260,86.378
261,84.883
262,83.286
263,81.396
264,80.429
265,79.743
266,80.278
267,80.970
268,80.560
269,79.739
270,77.686
271,74.550
272,74.398
273,76.272
274,78.459
275,79.988
276,82.989
277,86.211
278,85.810
279,82.938
280,82.068
281,81.816
282,80.504
283,79.944
284,79.315
285,78.141
286,76.984
287,77.914
288,77.953
289,78.032
290,76.104
291,74.780
292,75.488
293,78.201
294,81.155
295,82.130
296,81.929
297,81.615
298,79.191
299,76.367
300,73.009
301,70.305
302,68.772
303,67.985
304,66.216
305,61.578
306,56.123
307,53.772
308,52.907
309,53.147
310,55.927
311,56.502
312,56.156
313,57.071
314,58.592
315,59.348
316,60.107
317,60.179
318,58.277
319,58.387
320,58.261
321,57.064
322,54.724
323,52.652
324,52.090
325,50.216
326,47.408
327,46.075
328,45.978
329,46.729
330,48.441
331,50.656
332,54.270
333,57.397
334,59.934
335,60.991
336,61.329
337,60.713
338,59.338
339,58.696
340,58.554
341,58.057
342,56.000
343,53.621
344,50.209
345,47.617
346,47.095
347,49.746
348,55.391
349,60.978
350,65.971
351,69.911
352,73.590
353,75.301
354,75.986
355,76.366
356,76.462
357,76.252
358,77.432
359,78.627
360,75.174
361,68.236
362,61.287
363,57.827
364,56.517
365,55.595
366,56.531
367,56.986
368,56.334
369,57.099
370,59.590
371,60.614
372,60.765
373,61.399
374,60.619
375,59.801
376,58.508
377,57.593
378,55.777
379,55.000
380,52.940
381,49.425
382,47.434
383,47.992
384,49.908
385,51.506
386,53.508
387,55.445
388,54.494
389,52.629
390,52.632
391,53.527
392,54.140
393,53.555
394,52.106
395,50.721
396,48.450
397,45.512
398,43.187
399,41.812
400,41.654
401,42.615
402,43.504
403,41.582
404,40.145
405,40.080
406,40.247
407,40.517
408,40.755
409,41.493
410,42.331
411,42.715
412,41.606
413,41.555
414,42.096
415,42.479
416,42.118
417,40.818
418,39.356
419,39.444
420,39.275
421,38.744
422,38.671
423,39.333
424,41.316
425,42.211
426,42.200
427,41.971
428,41.074
429,41.519
430,41.796
431,41.700
432,41.221
433,41.342
434,42.266
435,42.235
436,42.244
437,42.381
438,42.779
