Distance_(pixels),Gray_Value
0,64.3422
1,64.8947
2,65.2793
3,64.8935
4,63.8976
5,64.2608
6,63.8033
7,64.7390
8,67.4660
9,70.1737
10,74.2241
11,76.8619
12,76.3090
13,74.9490
14,77.4853
15,81.8561
16,84.7621
17,84.7738
18,83.9787
19,82.4446
20,78.5631
21,73.4855
22,68.5952
23,67.8107
24,69.2761
25,70.5628
26,72.0026
27,73.9403
28,76.3251
29,76.8423
30,77.5025
31,76.9632
32,76.7881
33,77.1671
34,77.9430
35,76.7468
36,75.4273
37,74.6204
38,74.7947
39,76.7872
40,81.7524
41,84.4645
42,85.3796
43,85.2450
44,86.6926
45,88.5167
46,89.4956
47,90.5644
48,90.4649
49,90.1976
50,89.2294
51,90.7103
52,93.3820
53,95.3055
54,95.2138
55,94.9429
56,95.7944
57,98.3263
58,97.7705
59,98.4848
60,99.1472
61,99.0145
62,98.4907
63,95.6178
64,90.5135
65,84.4780
66,80.2596
67,77.5671
68,75.9122
69,74.2926
70,74.8042
71,76.6261
72,78.8032
73,82.3885
74,87.5426
75,90.7307
76,94.8206
77,98.5505
78,100.7401
79,101.7182
80,101.6331
81,98.5551
82,94.5821
83,91.1343
84,87.2162
85,83.3843
86,81.7993
87,80.1897
88,77.8583
89,78.9436
90,79.9770
91,81.2909
92,82.7500
93,80.6908
94,79.3277
95,80.0808
96,82.6804
97,85.2311
98,87.5108
99,88.3237
100,88.1753
101,85.9598
102,84.2051
103,82.5282
104,83.0469
105,85.6706
106,86.6251
107,85.5282
108,82.5324
109,79.6721
110,79.2762
111,83.0830
112,85.7865
113,87.1266
114,86.7303
115,85.3582
116,85.1089
117,86.8685
118,88.2518
119,89.5556
120,89.3133
121,87.7210
122,84.1250
123,79.7914
124,76.9276
125,79.5533
126,85.3108
127,89.0235
128,92.1264
129,93.8418
130,93.8534
131,91.4427
132,86.6516
133,83.0313
134,79.1507
135,77.3391
136,77.2896
137,77.9504
138,77.6467
139,76.1960
140,75.1087
141,77.5957
142,83.2684
143,89.1503
144,93.4737
145,96.1744
146,96.3516
147,94.4672
148,92.8384
149,91.6302
150,90.2962
151,88.8090
152,87.5181
153,87.1184
154,84.9085
155,83.4756
156,82.1196
157,78.6693
158,78.1735
159,78.4962
160,79.5593
161,79.5255
162,80.0821
163,80.5802
164,84.0149
165,87.1538
166,87.6351
167,87.9876
168,84.2895
169,78.6728
170,76.7788
171,78.1417
172,81.6635
173,84.2619
174,87.4193
175,90.2069
176,89.3961
177,88.4986
178,89.5581
179,92.1741
180,92.9991
181,90.9914
182,87.3769
183,86.1915
184,86.7054
185,86.3123
186,85.0554
187,84.7924
188,84.2924
189,83.9201
190,83.3858
191,81.4707
192,79.6687
193,77.5610
194,77.1632
195,77.5126
196,78.3869
197,79.8136
198,80.5149
199,82.2538
200,84.9895
201,87.4925
202,87.0252
203,84.8475
204,83.3096
205,82.2033
206,81.6432
207,83.2559
208,84.2692
209,83.2085
210,81.6886
211,81.1573
212,80.6915
213,80.1806
214,79.8020
215,79.3760
216,80.4851
217,82.5861
218,84.0977
219,85.4400
220,85.7302
221,85.8987
222,86.4870
223,85.8447
224,84.2095
225,83.0708
226,85.0912
227,86.5322
228,86.0394
229,86.4809
230,86.7660
231,85.2755
232,83.2698
233,81.8744
234,80.5530
235,77.1837
236,75.2837
237,73.7923
238,72.0320
239,68.7293
240,68.0354
241,69.4902
242,70.1562
243,70.2209
244,72.5883
245,75.1575
246,74.4961
247,73.8103
248,74.6079
249,76.7616
250,78.9000
251,79.5289
252,81.0494
253,81.0453
254,77.1472
255,73.7028
256,71.6031
257,70.3123
258,69.7774
259,72.1296
260,73.7478
261,74.4545
262,75.8530
263,77.2810
264,78.7542
265,77.3859
266,74.9311
267,71.2638
268,69.6847
269,69.6732
270,70.4578
271,71.2361
272,68.7053
273,65.1235
274,63.1438
275,65.4550
276,69.3510
277,70.6189
278,71.9473
279,74.7691
280,76.8429
281,76.0794
282,73.8827
283,71.4647
284,70.2426
285,69.4436
286,67.5654
287,63.8049
288,59.7254
289,54.4486
290,51.0167
291,50.9841
292,52.1527
293,52.7420
294,53.2509
295,53.7719
296,55.1840
297,57.5222
298,58.8296
299,59.1437
300,59.6200
301,58.9950
302,58.6514
303,57.0263
304,54.0364
305,51.8777
306,53.6462
307,56.2345
308,57.9886
309,58.1293
310,58.1109
311,57.9175
312,59.4614
313,61.1498
314,62.0148
315,62.0605
316,62.2153
317,61.0194
318,58.7289
319,57.6997
320,59.3377
321,61.4610
322,61.3497
323,60.2730
324,59.7528
325,61.4611
326,61.3364
327,59.9611
328,58.0725
329,56.2216
330,55.6873
331,53.1364
332,49.5751
333,48.0887
334,49.3627
335,50.9771
336,52.1617
337,52.9448
338,53.9151
339,55.4936
340,57.6870
341,59.4171
342,60.4337
343,60.5178
344,60.4056
345,57.9535
346,56.0939
347,54.4862
348,52.0425
349,49.4694
350,46.9815
351,46.3640
352,44.6760
353,43.1256
354,42.3731
355,40.9725
356,39.8385
357,38.4909
358,37.3180
359,37.0577
360,37.0839
361,37.4772
362,37.9028
363,38.6941
364,38.4039
365,37.7853
366,38.1610
367,37.3121
368,36.8901
369,36.9105
370,37.8515
371,37.8999
372,36.7204
373,36.0232
374,36.2541
375,35.8851
376,37.0308
377,37.8305
378,38.7726
379,39.2521
380,40.0053
381,40.9154
382,42.3233
383,44.2338
384,46.1594
385,47.5067
386,48.8545
387,49.4892
388,50.1250
389,50.8319
390,50.3799
391,49.3418
392,48.1318
393,46.5520
394,44.7685
395,42.7543
396,40.9408
397,40.3079
398,39.3398
399,38.3187
400,38.5141
401,38.8524
402,39.8466
403,39.8720
404,39.1104
405,38.3790
406,37.1871
407,37.1664
408,36.9172
409,37.3789
410,37.4560
411,37.5408
412,36.7418
413,36.0869
414,35.6859
415,35.8126
416,35.2474
417,34.6412
418,34.9307
419,36.0266
420,36.3990
421,35.9145
422,35.8046
423,35.7101
424,36.5086
425,36.5697
426,36.7109
427,36.6102
428,36.5822
429,36.3920
430,35.8641
431,35.4712
432,35.4669
433,36.1445
434,35.9044
435,35.1993
436,35.2549
437,36.3033
438,36.5505
439,35.9859
440,36.2069
441,34.4765
442,33.7070
443,33.9419
444,34.0660
445,34.7172
446,34.4958
447,34.4207
448,34.9240
449,35.4230
450,35.6201
451,35.4150
452,34.8741
453,34.9047
454,34.2943
455,34.3892
456,34.6684
457,35.2131
458,35.8382
459,35.7647
460,35.5925
461,35.2946
462,35.3627
463,34.2414
464,34.1435
465,34.6230
466,34.9849
467,34.7430
468,34.9626
469,35.2872
470,35.3271
471,35.6396
472,35.6711
473,34.7616
474,34.4251
475,34.6398
476,34.9806
477,34.9089
478,35.5799
479,35.6665
480,36.0033
481,36.4971
482,36.2247
483,35.9613
484,35.9364
485,35.2627
486,34.6241
487,34.5907
488,34.1862
489,34.5741
490,35.4813
491,35.7647
492,36.3633
493,36.9363
494,35.4992
495,34.4094
496,33.5317
497,33.3745
498,33.9326
499,34.4057
500,35.3746
501,35.5783
502,35.3489
503,34.7082
504,34.3146
505,34.3887
506,34.5148
507,34.4216
508,34.0070
509,34.1790
510,33.8035
511,33.6863
512,33.7360
513,33.5321
514,33.6348
515,33.3275
516,33.5060
517,34.0753
518,34.4906
519,34.2381
520,34.1314
521,33.7197
522,33.1598
523,32.4500
524,32.8047
525,32.9986
526,34.1450
527,34.2730
528,34.1526
529,34.2553
530,34.0924
531,33.7252
532,33.6176
533,33.5908
534,34.0339
535,33.7394
536,33.3130
537,33.1619
538,33.7397
539,33.8026
540,34.1068
541,34.0959
542,34.0983
543,33.3082
544,33.3654
545,32.8156
546,32.4265
547,32.5382
548,32.2232
549,32.1781
550,32.8918
551,33.6672
552,33.4882
553,33.4493
554,32.9279
555,32.3909
556,32.3314
557,32.4893
558,32.3380
559,32.8206
560,33.2222
561,33.4994
562,33.5188
563,33.8784
564,34.4576
565,35.1833
566,35.6181
567,35.1073
568,35.0110
569,34.7906
570,34.4211
571,34.9532
572,34.6832
573,33.7089
574,33.1668
575,33.7343
576,34.2144
577,34.3166
578,34.2211
579,33.9839
580,33.6606
581,33.3713
582,32.7594
583,32.7572
584,32.5598
585,32.5237
586,32.8757
587,33.7815
588,34.4281
589,34.0288
590,34.3495
591,34.8755
592,34.4543
593,34.3239
594,33.7013
595,33.9181
596,33.8621
597,33.7020
598,33.5855
599,33.4477
600,33.4471
601,33.3369
602,33.9381
603,34.6794
604,34.3107
605,34.2022
606,34.8258
607,35.1033
608,35.0484
609,34.5440
610,34.1343
611,33.9287
612,34.3816
613,34.5832
614,35.1378
615,34.7378
616,34.7432
617,34.8028
618,35.2777
619,35.9932
620,36.0737
621,36.2801
622,36.2917
623,36.8488
624,37.2747
625,36.8829
626,36.3206
627,36.0469
628,35.8194
629,35.7962
630,36.6400
631,36.4657
632,35.4993
633,34.8163
634,35.4733
635,36.9582
636,37.9403
637,37.8344
638,37.0597
639,36.2181
640,36.6937
641,37.1261
642,36.0816
643,35.6374
