Distance_(pixels),Gray_Value
0,60.6851
1,61.0736
2,62.4990
3,64.0717
4,63.8726
5,64.8411
6,65.6284
7,66.7695
8,66.9187
9,67.5048
10,67.4130
11,66.9833
12,65.9705
13,64.5514
14,61.8972
15,60.9713
16,60.2073
17,58.7379
18,57.0332
19,56.1785
20,57.0016
21,58.1692
22,58.8827
23,58.5070
24,60.3085
25,63.0895
26,64.0175
27,63.2125
28,61.4888
29,60.1429
30,59.9984
31,59.8655
32,58.3707
33,55.8864
34,54.5609
35,55.3939
36,57.0750
37,57.7735
38,57.3713
39,58.1931
40,59.7624
41,61.1213
42,63.5931
43,65.9346
44,68.2914
45,68.9816
46,68.4640
47,66.8853
48,65.0685
49,64.4670
50,64.4959
51,65.8915
52,65.6891
53,65.0252
54,67.3547
55,70.5314
56,72.0143
57,71.2553
58,69.8428
59,69.2570
60,69.3010
61,70.4514
62,70.6210
63,71.1311
64,68.7067
65,64.6072
66,61.1753
67,59.2484
68,59.8649
69,61.3206
70,62.6731
71,64.7365
72,69.0507
73,72.9829
74,77.4327
75,80.6273
76,81.5219
77,81.8688
78,81.1939
79,80.9793
80,81.4154
81,82.5648
82,82.0392
83,80.3168
84,79.5488
85,79.2890
86,80.4978
87,81.5576
88,82.7433
89,84.1551
90,85.7515
91,86.3222
92,83.4910
93,79.0967
94,76.1012
95,73.8871
96,71.3268
97,70.7656
98,71.4331
99,70.2157
100,68.3165
101,67.9205
102,68.3949
103,68.9899
104,68.5506
105,65.2838
106,61.5672
107,57.7424
108,58.6789
109,62.9228
110,68.3503
111,71.9581
112,73.2238
113,74.4849
114,76.5815
115,78.6471
116,78.5922
117,78.3827
118,79.8523
119,81.4375
120,79.1431
121,78.1521
122,76.9166
123,76.2787
124,75.9845
125,74.4851
126,72.5085
127,71.2204
128,70.7339
129,69.6612
130,71.3444
131,72.4823
132,73.5570
133,78.0040
134,79.4125
135,79.6163
136,79.1274
137,75.4434
138,75.7501
139,77.7742
140,79.0985
141,79.7249
142,81.7618
143,83.3869
144,84.4842
